Title,Status,Priority,Labels,Assignees,Due date,Description
Contact MIA guests + confirm EU count,Todo,Medium,"Guests,Michael",Michael,09/11/2026,Needed for final catering number
Give final guest count to caterer + venue,Todo,Medium,"Vendors,Yiwen",Yiwen,09/11/2026,60–65 guests confirmed
Give photographer must-have shot list,Todo,Medium,"Vendors,Yiwen",Yiwen,09/14/2026,"Cultural moments, dog w/ Insta360, family groups"
Finalize seating chart + escort cards,Todo,Medium,"Logistics,Yiwen",Yiwen,09/14/2026,Share copy with JME Planner
Finalize floor plan + send to venue,Todo,Medium,"Logistics,Both","Yiwen,Michael",09/14/2026,"Include projector, bar area, dog-friendly zone"
Finalize music playlist → send to cousin,Todo,Medium,"Music,Michael",Michael,09/14/2026,All ceremony + reception songs confirmed
Schedule decor drop-off with venue,Todo,Medium,"Venue,Yiwen",Yiwen,09/14/2026,"Arch, waterfall, dry flowers, mugs + candy favors"
Final dress fitting + alterations,Todo,Medium,"Attire,Yiwen",Yiwen,09/18/2026,Start breaking in your wedding shoes now!
Confirm all vendor arrival times,Todo,Medium,"Vendors,Both","Yiwen,Michael",09/18/2026,"Photographers, MUA team, bartender, rentals"
Send timeline to bridal party + family,Todo,Medium,"Logistics,Both","Yiwen,Michael",09/18/2026,Include EU + China family day logistics
Create welcome bags (China + EU guests),Todo,Medium,"Guests,Yiwen",Yiwen,09/18/2026,Small gesture for international guests
Final venue walkthrough with JME Planner,Todo,Medium,"Venue,Both","Yiwen,Michael",09/18/2026,"Layout, decor, vendor logistics"
Targeted self-tanner for tan lines,Todo,Medium,"Beauty,Yiwen",Yiwen,09/24/2026,7–10 days out — blend runner's tan lines
Bridal party group text + planner info,Todo,Medium,"Logistics,Yiwen",Yiwen,09/24/2026,Wedding day questions go to JME Planner
Confirm ceremony rehearsal details,Todo,Medium,"Ceremony,Both","Yiwen,Michael",09/24/2026,"Date, time, location, walking order"
Email all vendors — final timeline,Todo,Medium,"Vendors,Both","Yiwen,Michael",09/24/2026,Everyone gets the same document
Have dresses steamed,Todo,Medium,"Attire,Yiwen",Yiwen,09/24/2026,Dress + all bridesmaid dresses
Manicure + pedicure,Todo,Medium,"Beauty,Yiwen",Yiwen,09/25/2026,2–3 days before the wedding
Pick up all formalwear,Todo,Medium,"Attire,Michael",Michael,09/25/2026,Confirm wedding party has theirs too
Drop off welcome gifts to guests,Todo,Medium,"Guests,Both","Yiwen,Michael",09/25/2026,China family Airbnb + EU guests
Prepare vendor gratuity envelopes,Todo,Medium,"Admin,Both","Yiwen,Michael",09/25/2026,Seal + sign on the seal line
Order wedding morning breakfast/lunch,Todo,Medium,"Logistics,Yiwen",Yiwen,09/25/2026,For getting-ready crew at Bellport cottage
Pack for Asheville honeymoon,Todo,Medium,"Honeymoon,Both","Yiwen,Michael",09/25/2026,
Ceremony rehearsal + rehearsal dinner,Todo,Medium,"Events,Both","Yiwen,Michael",09/25/2026,Church rehearsal separate from dinner
Pack wedding detail box for photographer,Todo,Medium,"Logistics,Yiwen",Yiwen,09/25/2026,"Rings, vow books, veil, jewelry, dog's Insta360!"
WEDDING DAY — September 26!,Todo,Medium,"Wedding Day,Both","Yiwen,Michael",09/26/2026,"Eat breakfast, stay hydrated, enjoy every minute"
Send thank you cards to guests,Todo,Medium,"Admin,Both","Yiwen,Michael",10/03/2026,
Return formalwear + rentals,Todo,Medium,"Admin,Michael",Michael,10/03/2026,
Preserve dress + bouquet,Todo,Medium,"Personal,Yiwen",Yiwen,10/03/2026,
Enjoy the Asheville honeymoon!,Todo,Medium,"Honeymoon,Both","Yiwen,Michael",10/03/2026,You did it!
